RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID6100,RPTJING,"RP TMJ Inj w Guide","RP Temporomandibular Joint Injection with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,HEAD, , , , ,GUIDANCE, , , , ,TEMPOROMANDIBULAR JOINT, , ,INJECTION, , , , , , , , , , ,RID10311|RID13060|0|RID9080|0|0|0|0|RID35732|0|0|0|0|RID9779|0|0|RID28842|0|0|0|0|0|0|0|0|0|
RPID6101,RPTNING,"RP Tendon Inj w Guide","RP Tendon Injection with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,TENDON, , ,INJECTION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID6067|0|0|RID28842|0|0|0|0|0|0|0|0|0|
RPID6102,RPWRING,"RP Wrist Inj w Guide","RP Wrist Injection with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,GUIDANCE, , , , ,WRIST, , ,INJECTION, , , , , , , , , , ,RID10311|RID13060|0|RID1850|0|0|0|0|RID35732|0|0|0|0|RID2177|0|0|RID28842|0|0|0|0|0|0|0|0|0|
RPID6103,RPHRCNG,"RP Pericardiocent w Guide","RP Pericardiocentesis with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CHEST, , , , ,GUIDANCE, , , , ,HEART, , ,PERICARDIOCENTESIS, , , , , , , , , , ,RID10311|RID13060|0|RID1243|0|0|0|0|RID35732|0|0|0|0|RID1385|0|0|RID35814|0|0|0|0|0|0|0|0|0|
RPID6104,RPBNABG,"RP Bone RFA","RP Bone Radiofrequency Ablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,BONE, , , , ,GUIDANCE, , , , , , , ,RADIOFREQUENCY ABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID13197|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID1849|0|0|0|0|0|0|0|0|0|
RPID6105,RPOPCPG,"RP Pre-Op Clip Plac w Guide","RP Pre-Operative Clip Placement with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , ,PRE OP,CLIP PLACEMENT, , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID28815|RID38597|0|0|0|0|0|0|0|0|
RPID6106,RPASCYG,"RP Cyst Aspir w Guide","RP Cyst Aspiration with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,CYST, , ,ASPIRATION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID3890|0|0|RID10398|0|0|0|0|0|0|0|0|0|
RPID6107,RPBNASG,"RP Bone Aspir w Guide","RP Bone Aspiration with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,BONE, , , , ,GUIDANCE, , , , ,CYST, , ,ASPIRATION, , , , , , , , , , ,RID10311|RID13060|0|RID13197|0|0|0|0|RID35732|0|0|0|0|RID3890|0|0|RID10398|0|0|0|0|0|0|0|0|0|
RPID6108,RPKDCYASG,"RP Kidney Cyst Aspir","RP Kidney Cyst Aspiration with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,KIDNEY,CYST, ,ASPIRATION, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID205|RID3890|0|RID10398|0|0|0|0|0|0|0|0|0|
RPID6109,RPLNASG,"RP Lymph Node Aspir w Guide","RP Lymph Node Aspiration with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,LYMPH NODE, , ,ASPIRATION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID13296|0|0|RID10398|0|0|0|0|0|0|0|0|0|
RPID6110,RPLNBXG,"RP Lymph Node Bx w Guide","RP Lymph Node Biopsy with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,LYMPH NODE, , ,BIOPSY, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID13296|0|0|RID38611|0|0|0|0|0|0|0|0|0|
RPID6111,RPCSFDRG,"RP C-Spine Puncture CSF Drain","RP Cervical Spine Puncture CSF Drainage with Imaging Guidance Therapeutic",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , ,GUIDANCE, , , , , , , ,PUNCTURE,DRAINAGE, , , , , , , , , ,RID10311|RID13060|0|RID34571|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID4735|RID10417|0|0|0|0|0|0|0|0|
RPID6114,RPJTING,"RP Joint Inj","RP Joint Injection with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,JOINT, , ,ARTHROCENTESIS, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID6122|0|0|RID39339|0|0|0|0|0|0|0|0|0|
RPID6115,RPBMASG,"RP Bone Marrow Aspir","RP Bone Marrow Aspiration with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,BONE MARROW, , ,ASPIRATION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID38594|0|0|RID10398|0|0|0|0|0|0|0|0|0|
RPID6116,RPHBBXG,"RP Biliary Bx","RP Biliary Biopsy with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,BILIARY DUCTS, , ,BIOPSY, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID45712|0|0|RID38611|0|0|0|0|0|0|0|0|0|
RPID6117,RPBMBXG,"RP Bone Marrow Bx","RP Bone Marrow Biopsy with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,BONE MARROW, , ,BIOPSY, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID38594|0|0|RID38611|0|0|0|0|0|0|0|0|0|
RPID6118,RPURBXG,"RP Ureteral Bx","RP Ureteral Biopsy with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,GUIDANCE, , , , ,URETER, , ,BIOPSY, , , , , , , , , , ,RID10311|RID13060|0|RID56|RID2507|0|0|0|RID35732|0|0|0|0|RID229|0|0|RID38611|0|0|0|0|0|0|0|0|0|
RPID6119,RPKDABCRG,"RP Kidney Cryo w guide","RP Kidney Cryoablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,KIDNEY, , ,CRYOABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID205|0|0|RID1754|0|0|0|0|0|0|0|0|0|
RPID6120,RPLVABCRG,"RP Liver Cryo w Guide","RP Liver Cryoablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,LIVER, , ,CRYOABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID58|0|0|RID1754|0|0|0|0|0|0|0|0|0|
RPID6121,RPLUABCRG,"RP Lung Cryoablation","RP Lung Cryoablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CHEST, , , , ,GUIDANCE, , , , ,LUNG, , ,CRYOABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID1243|0|0|0|0|RID35732|0|0|0|0|RID1301|0|0|RID1754|0|0|0|0|0|0|0|0|0|
RPID6122,RPDRG,"RP Drainage","RP Drainage with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , ,DRAINAGE, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID10417|0|0|0|0|0|0|0|0|0|
RPID6123,RPEDING,"RP Epidural Inj w Guide","RP Epidural Injection with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , ,EPIDURAL SPACE, , ,INJECTION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|RID7111|0|0|RID28842|0|0|0|0|0|0|0|0|0|
RPID6124,RPCVCAIN,"RP CV Cath Reposition","RP Central Venous Catheter Injection",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , ,INJECTION, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID28842|0|0|0|0|0|0|0|0|0|
RPID6125,RPLSKPG,"RP L-Spine Kyphoplasty","RP Lumbar Spine Kyphoplasty with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,GUIDANCE, , , , , , , ,KYPHOPLASTY, , , , , , , , , , ,RID10311|RID13060|0|RID34573|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID1840|0|0|0|0|0|0|0|0|0|
RPID6126,RPTSKPG,"RP T-Spine Kyphoplasty","RP Thoracic Spine Kyphoplasty with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , ,GUIDANCE, , , , , , , ,KYPHOPLASTY, , , , , , , , , , ,RID10311|RID13060|0|RID28677|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID1840|0|0|0|0|0|0|0|0|0|
RPID6127,RPLPG,"RP LP w Guide","RP Lumbar Puncture with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,GUIDANCE, , , , , , , ,LUMBAR PUNCTURE, , , , , , , , , , ,RID10311|RID13060|0|RID34573|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID46073|0|0|0|0|0|0|0|0|0|
RPID6128,RPNDG,"RP Needle Place","RP Needle Placement with Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , ,NEEDLE PLACEMENT, , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID35816|0|0|0|0|0|0|0|0|0|
RPID6129,RPABCNG,"RP Para w Guide","RP Paracentesis with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,PERITONEUM, , ,PARACENTESIS, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID410|0|0|RID35813|0|0|0|0|0|0|0|0|0|
RPID6130,RPCSLPG,"RP C-Spine Puncture","RP Cervical Spine Puncture with Imaging Guidance Diagnostic",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , ,GUIDANCE, , , , , , , ,PUNCTURE, , , , , , , , , , ,RID10311|RID13060|0|RID34571|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID4735|0|0|0|0|0|0|0|0|0|
RPID6131,RPKDABRFG,"RP Kidney RFA w Guide","RP Kidney Radiofrequency Ablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,KIDNEY, , ,RADIOFREQUENCY ABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID205|0|0|RID1849|0|0|0|0|0|0|0|0|0|
RPID6132,RPLVABRFG,"RP Liver RFA w Guide","RP Liver Radioferquency Ablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , ,LIVER, , ,RADIOFREQUENCY ABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|RID58|0|0|RID1849|0|0|0|0|0|0|0|0|0|
RPID6133,RPLUABRFG,"RP Lung RFA","RP Lung Radiofrequency Ablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CHEST, , , , ,GUIDANCE, , , , ,LUNG, , ,RADIOFREQUENCY ABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID1243|0|0|0|0|RID35732|0|0|0|0|RID1301|0|0|RID1849|0|0|0|0|0|0|0|0|0|
RPID6134,RPPRABRFG,"RP Lung Pleura RFA","RP Lung Pleura Radiofrequency Ablation with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CHEST, , , , ,GUIDANCE, , , , ,LUNG,PLEURA, ,RADIOFREQUENCY ABLATION, , , , , , , , , , ,RID10311|RID13060|0|RID1243|0|0|0|0|RID35732|0|0|0|0|RID1301|RID1362|0|RID1849|0|0|0|0|0|0|0|0|0|
RPID6135,RPCHCNG,"RP Thoracent w Guide","RP Thoracentesis with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,CHEST, , , , ,GUIDANCE, , , , , , , ,THORACENTESIS, , , , , , , , , , ,RID10311|RID13060|0|RID1243|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID35815|0|0|0|0|0|0|0|0|0|
RPID6136,RPABFDG,"RP Abd Fiducial Place","RP Abdomen Fiducial Placement with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,GUIDANCE, , , , , , , , , , , , , , , , , , ,RID10311|RID13060|0|RID56|0|0|0|0|RID35732|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6137,RPG,"RP Abscess","RP Abscess with Imaging Guidance",RADIOLOGY PROCEDURE,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , , , , , , , , , , , , ,RID10311|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6138,FLSGCL,"FL Salivary Gland Calculus","FL Salivary Gland Calculus",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SALIVARY GLAND, , ,CALCULUS, , , , , , , , , , ,RID45709|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID13421|0|0|RID4994|0|0|0|0|0|0|0|0|0|
RPID6139,FLBLDR,"FL Bladder Drain","FL Bladder Drainage",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , ,BLADDER, , ,DRAINAGE, , , , , , , , , , ,RID45709|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|RID237|0|0|RID10417|0|0|0|0|0|0|0|0|0|
RPID6140,FLFTAD,"FL Feed Tube Advance","FL Feeding Tube Advancement",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , ,GASTROINTESTINAL TRACT, , ,FEEDING TUBE ADVANCEMENT, , , , , , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|RID94|0|0|RID46071|0|0|0|0|0|0|0|0|0|
RPID6141,FLBERI,"FL BE Reduce Intussusception","FL Barium Enema Reduce Intussusception",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , ,LARGE INTESTINE, , ,INTUSSUSCEPTION, , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|RID152|0|0|RID4943|0|0|0|RID11872|0|0|0|0|0|
RPID6142,FLNDG,"FL Needle w Guide","FL Guidance for Needle Placement",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , ,NEEDLE PLACEMENT, , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|RID35816|0|0|0|0|0|0|0|0|0|
RPID6143,FLBEDCS,"FL BE Double Screen","FL Barium Enema Double Contrast Screening",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,DOUBLE CONTRAST, ,LARGE INTESTINE, , ,SCREENING, , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46065|0|RID152|0|0|RID28817|0|0|0|RID11872|0|0|0|0|0|
RPID6144,FLST,"FL Sniff Test","FL Sniff Test",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,DIAPHRAGM, , ,SNIFF TEST, , , , , , , , , , ,RID45709|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID1524|0|0|RID45719|0|0|0|0|0|0|0|0|0|
RPID6145,FLABSB,"FL Abd Small Bowel","FL Abdomen Small Bowel",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , , , , , , ,SMALL INTESTINE, , , , , , , , , , , , , ,RID45709|RID13060|0|RID56|RID2507|0|0|0|0|0|0|0|0|RID132|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6146,FLBE,"FL BE Single","FL Barium Enema Single Contrast",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,LARGE INTESTINE, , , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID152|0|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6147,FLBEDC,"FL BE Double","FL Barium Enema Double Contrast",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,DOUBLE CONTRAST, ,LARGE INTESTINE, , , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46065|0|RID152|0|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6148,FLESPH,"FL Esoph Pharynx","FL Esophagus Pharynx",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,NECK, , , , , , , ,DOUBLE CONTRAST, ,PHARYNX,ESOPHAGUS, , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID7488|0|0|0|0|0|0|0|RID46065|0|RID13211|RID95|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6149,FLESSW,"FL Esoph Swallow","FL Esophagus Barium Swallow",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , ,DOUBLE CONTRAST, ,PHARYNX,ESOPHAGUS, , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID1243|0|0|0|0|0|0|0|RID46065|0|RID13211|RID95|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6150,FLGIDCFT,"FL Upper GI Double w SBFT","FL Upper GI Double Contrast With Small Bowel Follow Through",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,DOUBLE CONTRAST, ,UPPER GI TRACT,SMALL INTESTINE, , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46065|0|RID29665|RID132|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6151,FLGISCFT,"FL Upper GI Single w SBFT","FL Upper GI Single Contrast With Small Bowel Follow Through",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,UPPER GI TRACT,SMALL INTESTINE, , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID29665|RID132|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6152,FLGIDC,"FL Upper GI Double","FL Upper GI Double Contrast",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,DOUBLE CONTRAST, ,UPPER GI TRACT, , , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46065|0|RID29665|0|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6153,FLGISC,"FL Upper GI Single","FL Upper GI Single Contrast",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,UPPER GI TRACT, , , , , , ,BARIUM, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID29665|0|0|0|0|0|0|RID11872|0|0|0|0|0|
RPID6154,FLBEWS,"FL BE Single Water Sol","FL Barium Enema Single Contrast Water Soluble",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,LARGE INTESTINE, , , , , , ,WATER SOLUBLE CONTRAST, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID152|0|0|0|0|0|0|RID46074|0|0|0|0|0|
RPID6155,FLESSWWS,"FL Esoph Swallow Single Water Sol","FL Esophagus Barium Swallow Single Contrast Water Soluble",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , ,SINGLE CONTRAST, ,PHARYNX,ESOPHAGUS, , , , , ,WATER SOLUBLE CONTRAST, , , , , , ,RID45709|RID13060|0|RID1243|0|0|0|0|0|0|0|RID46064|0|RID13211|RID95|0|0|0|0|0|RID46074|0|0|0|0|0|
RPID6156,FLGISCWS,"FL Upper GI Single Water Sol","FL Upper GI Single Contrast Water Soluble",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,UPPER GI TRACT, , , , , , ,WATER SOLUBLE CONTRAST, , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID29665|0|0|0|0|0|0|RID46074|0|0|0|0|0|
RPID6157,FLELAR,"FL Elbow Arthrogram","FL Elbow Arthrogram",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,ARTHROGRAPHY, , , , ,ELBOW, , , , , , , , , , , , , ,RID45709|RID13060|0|RID1850|0|0|0|0|RID10373|0|0|0|0|RID2010|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6158,FLCY,"FL Cystogram","FL Cystogram",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,CYSTOGRAPHY, , , , ,BLADDER, , , , , , , , , , , , , ,RID45709|RID13060|0|RID2507|0|0|0|0|RID34878|0|0|0|0|RID237|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6159,FLG,"FL Guide","FL Guidance",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,GUIDANCE, , , , , , , , , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID35732|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6160,FLLT1HOP,"FL < 1 Hr Intraop","FL Less Than 1 Hour Intraoperative",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,INTRA-OPERATIVE, , ,LESS THAN 1 HOUR, , , , , , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID39334|0|0|RID39338|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6161,FLPT,"FL Portable","FL Portable",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,PORTABLE, , , , , , , , , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID10383|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6162,FLTOB,"FL Tomo Complex Bilat","FL Tomography Complex Bilateral",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,TOMOGRAPHY,COMPLEX, , , , , ,BILATERAL, , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID28840|RID5757|0|0|0|0|0|RID5771|0|0|0|0|0|0|0|0|0|0|
RPID6163,FLTOPL,"FL Tomo Ltd","FL Tomography Limited",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,TOMOGRAPHY,LIMITED, , , , , , , , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID28840|RID5684|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6164,FLTOT,"FL Tomo Complex Unilat","FL Tomography Complex Unilateral",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , ,TOMOGRAPHY,COMPLEX, , , , , ,UNILATERAL, , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|RID28840|RID5757|0|0|0|0|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID6165,FLWH,"FL Whitaker Test","FL Whitaker Test",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,WHITAKER TEST, , , , ,URINARY TRACT, , , , , , , , , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|RID48092|0|0|0|0|RID204|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6166,FLSBEN,"FL Small Bowel Enema","FL Small Bowel Enema",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,DOUBLE CONTRAST, ,SMALL INTESTINE, , , , , , , , , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46065|0|RID132|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6167,FLSBFT,"FL SBFT","FL Small Bowel Follow Through",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , ,SINGLE CONTRAST, ,SMALL INTESTINE, , , , , , , , , , , , , ,RID45709|RID13060|0|RID56|0|0|0|0|0|0|0|RID46064|0|RID132|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6168,FLCH,"FL Chest","FL Chest",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , , , , , , , , ,RID45709|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID6169,FLGT1HR,"FL > 1 Hr","FL More Than 1 Hour",RADIO-FLUOROSCOPY,RADIOLOGY ORDERABLE, , , , , , , , , ,GREATER THAN 1 HOUR, , , , , , , , , , , , , , , ,RID45709|RID13060|0|0|0|0|0|0|0|0|0|RID39337|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
